state_code,num_employee_code,naics_code,inst_type_code,birth_date,sex,date_filed,closure_code,basis_code,issue_code,litigation_case_type
TX,C,,E,05/28/71,F,06/09/10,M3,GF,S5,
NV,D,,E,04/18/66,,05/11/10,M3,AC,D2,
MA,,446110.0,E,03/17/81,F,02/10/10,M3,OR,W1,
PA,B,,G,07/18/56,F,11/03/09,M3,TP,T2,
CA,A,,G,12/14/61,M,03/17/10,M3,VB,R6,
FL,D,622110.0,E,08/16/46,M,04/08/10,N2,OA,D3,
NC,B,561910.0,E,11/29/53,M,12/01/09,Y1,RB,T2,
TX,A,,E,01/20/71,F,06/21/10,,OR,S4,
NY,U,,K,,M,11/05/09,Y1,UA,D3,
GA,A,,E,12/02/56,F,04/20/10,Y1,AO,H1,
DC,D,325412.0,E,05/03/65,F,02/25/10,,UB,D2,
NY,A,,E,07/13/78,F,12/23/09,N2,GP,D2,
TN,D,622110.0,E,11/11/59,F,08/16/10,M3,RB,T2,
TX,D,,E,04/17/70,F,01/14/10,M3,Z2,D2,
WA,D,551114.0,E,11/15/66,F,01/25/10,N2,AJ,D2,
GA,C,,E,08/15/77,M,08/23/10,M3,OR,T2,
TX,U,,I,02/17/63,F,05/12/10,,OO,D2,
OH,D,522110.0,E,12/28/50,F,06/22/10,M3,U1,R6,
MO,B,311919.0,E,,N,09/20/10,N2,Z2,S5,
VI,C,,E,07/01/63,F,04/13/10,M3,GF,H1,
MD,A,,E,02/12/70,M,12/22/09,M3,AO,O1,
MO,C,,E,09/21/63,F,07/23/10,,OA,D2,
NM,U,,E,02/12/81,F,03/17/10,M3,RB,D2,
IL,D,517210.0,E,03/26/74,M,09/21/10,,OR,D2,
DC,C,,E,02/10/67,M,02/24/10,N2,RB,D2,
AL,D,541710.0,E,05/14/62,F,10/14/09,M2,GF,S4,
CA,D,,K,03/19/58,F,01/14/10,Y2,OR,H1,
AL,B,,E,09/21/61,F,11/24/09,M3,OA,P5,
CA,D,,G,,F,07/20/10,,NO,D2,
CA,D,,E,08/11/76,M,11/19/09,X2,RO,D2,
CA,D,713210.0,E,06/30/50,M,02/17/10,M3,RS,T2,
CA,C,,G,07/03/77,F,12/09/09,,OR,R2,
GA,D,,E,08/29/80,F,08/16/10,M3,RB,D3,
LA,C,,E,08/10/33,M,01/20/10,Y2,OA,T2,
NY,D,481111.0,E,12/06/78,F,05/25/10,,RB,D2,
CO,D,,G,11/29/62,M,06/03/10,,RB,D2,
IL,D,623311.0,E,05/09/63,F,01/15/10,X3,OR,D3,
TX,D,,E,,F,04/12/10,M3,OR,H1,
TX,C,,E,08/18/66,M,09/01/10,,OA,H1,
GA,D,311999.0,E,07/17/81,F,06/10/10,,RB,D2,
KY,D,444110.0,E,04/30/57,F,03/25/10,M2,GF,T2,
FL,D,,E,07/24/57,F,07/07/10,M3,OA,D2,
